title,authors,description,categories
The Science Fiction of Poetics and the Avant-Garde Imagination,['Michael Golston'],"How the tropes of science fiction infuse and inform avant-garde poetics and many other kindred arts This insightful, playful monograph from Golston does exactly what it advertises: modeling poetics based on how poetry (and some parallel artistic endeavors) has filtered through a century-plus of science fiction. This is not a book about science fiction in and of itself, but it is a book about the resonances of science-fiction tropes and ideas in poetic language. The germ of Golston’s project is a throwaway line in Robert Smithson’s Entropy and the New Monuments about how cinema supplanted nature as inspiration for many of his fellow artists: “The movies give a ritual pattern to the lives of many artists, and this induces a kind of ‘low budget’ mysticism, which keeps them in a perpetual trance.” Golston charts how the demotic appeal of sci-fi, much like that of the B-movie, cross-pollinated into poetry and other branches of the avant garde. Golston creates what he calls a “regular Rube Goldberg machine” of a critical apparatus, drawing on Walter Benjamin, Roman Jakobson, and Gilles Deleuze. He starts by acknowledging that, per the important work of Darko Suvin to situate science fiction critically, the genre is premised on cognitive estrangement. But he is not interested in the specific nuts and bolts of science fiction as it exists but rather how science fiction has created a model not only for other poets but also for musicians and landscape artists. Golston’s critical lens moves around quite a bit, but he begins with familiar enough subjects: Edgar Rice Burroughs, Mina Loy, William S. Burroughs. From there he moves into more “alien” terrain: Ed Dorn’s long poem Gunslinger, the discombobulated work of Clark Coolidge. Sun Ra, Ornette Coleman, and Jimi Hendrix all come under consideration. The result of Golston’s restless, rich scholarship is the first substantial monograph on science fiction and avant-garde poetics, using Russian Formalism, Frankfurt School dialectics, and Deleuzian theory to show how the avant-garde inherently follows the parameters of sci fi, in both theme and form.",['Literary Criticism']
The Year's Best Science Fiction: Twenty-Seventh Annual Collection,['Gardner Dozois'],"The thirty-two stories in this collection imaginatively take us far across the universe, into the very core of our beings, to the realm of the gods, and the moment just after now. Included here are the works of masters of the form and of bright new talents, including: John Barnes, Elizabeth Bear, Damien Broderick, Karl Bunker, Paul Cornell, Albert E. Cowdrey, Ian Creasey, Steven Gould, Dominic Green, Nicola Griffith, Alexander Irvine, John Kessel, Ted Kosmatka, Nancy Kress, Jay Lake, Rand B. Lee, Paul McAuley, Ian McDonald, Maureen F. McHugh, Sarah Monette, Michael Poore, Robert Reed, Adam Roberts, Chris Roberson, Mary Rosenblum, Geoff Ryman, Vandana Singh, Bruce Sterling, Lavie Tidhar, James Van Pelt, Jo Walton, Peter Watts, Robert Charles Wilson, and John C. Wright. Supplementing the stories are the editor's insightful summation of the year's events and a lengthy list of honorable mentions, making this book both a valuable resource and the single best place in the universe to find stories that stir the imagination, and the heart.",['Fiction']
The Guide to the Top 100 Science Fiction & Fantasy Books,['Navneet Singh'],"📖 Table of Contents 1. Introduction Why Science Fiction & Fantasy Matter How This List Was Curated Who This Book Is For 2. The Top 100 Science Fiction & Fantasy Books Classic Science Fiction (20 books) Modern Science Fiction (20 books) Classic Fantasy (20 books) Modern Fantasy (20 books) Dystopian & Speculative Fiction (20 books) 3. Honorable Mentions & Emerging Books Books That Almost Made the List Recent Bestsellers in Sci-Fi & Fantasy 4. Conclusion & Recommendations The Importance of Sci-Fi & Fantasy in Literature Suggested Reading Paths Based on Interests (e.g., ""Best Books for Cyberpunk Fans,"" ""Must-Reads for Fantasy Lovers"") Encouragement to Keep Exploring New Worlds",['Antiques & Collectibles']
Science Fiction Literature through History,['Gary Westfahl'],"This book provides students and other interested readers with a comprehensive survey of science fiction history and numerous essays addressing major science fiction topics, authors, works, and subgenres written by a distinguished scholar. This encyclopedia deals with written science fiction in all of its forms, not only novels and short stories but also mediums often ignored in other reference books, such as plays, poems, comic books, and graphic novels. Some science fiction films, television programs, and video games are also mentioned, particularly when they are relevant to written texts. Its focus is on science fiction in the English language, though due attention is given to international authors whose works have been frequently translated into English. Since science fiction became a recognized genre and greatly expanded in the 20th century, works published in the 20th and 21st centuries are most frequently discussed, though important earlier works are not neglected. The texts are designed to be helpful to numerous readers, ranging from students first encountering science fiction to experienced scholars in the field.",['Literary Criticism']
Age and Ageing in Contemporary Speculative and Science Fiction,"['Sarah Falcus', 'Maricel Oró-Piqueras']","Focusing on the contemporary period, this book brings together critical age studies and contemporary science fiction to establish the centrality of age and ageing in dystopian, speculative and science-fiction imaginaries. Analysing texts from Europe, North America and South Asia, as well as television programmes and films, the contributions range from essays which establish genre-based trends in the representation of age and ageing, to very focused studies of particular texts and concerns. As a whole, the volume probes the relationship between speculative/science fiction and our understanding of what it is to be a human in time: the time of our own lives and the times of both the past and the future.",['Literary Criticism']
Arab and Muslim Science Fiction,"['Hosam A. Ibrahim Elzembely', 'Emad El-Din Aysha']","How is science fiction from the Arab and Muslim world different than mainstream science fiction from the West? What distinctive and original contributions can it make? Why is it so often neglected in critical considerations of the genre? While other books have explored these questions, all have been from foreign academic voices. Instead, this book examines the nature, genesis, and history of Arabic and Muslim science fiction, as well as the challenges faced by its authors, in the authors' own words. These authors share their stories and struggles with censors, recalcitrant publishers, critics, the book market, and the literary establishment. Their uphill efforts, with critical contributions from academics, translators, and literary activists, will enlighten the sci-fi enthusiast and fill a gap in the history of science fiction. Topics covered range from culture shock to conflicts between tradition and modernity, proactive roles for female heroines, blind imitation of storytelling techniques, and language games.",['Literary Criticism']
Technoculture in Margaret Atwood’s Science Fiction Novels,['Jasmine Sharma'],"The contemporary mediation between technoscience and philosophy offers overwhelming insights into the literary-critical domain of thought. This book conceptualizes an enriching engagement with questions pertaining to the notion of technology and how its blend with cultural facets makes comprehensive room for the reconstitution of the literary landscape in Atwood’s science fiction (SF) novels. Ranging from the technologies of disciplinary and bio-corporeal power to theorizing gender politics of cyborgian, nomadic and humanoid bodies, from technologizing the consumption of hybrid edibles and lingual epistemology to discerning the hyperreal dimensions of archived tech-memoirs, video gaming and digital sex, the book takes a philosophical approach to technocultural studies, a newly emerging interdisciplinary methodology. It contributes to an optimal concretization of technoscientific exploration in Margaret Atwood’s literary scholarship and adds to the existing field of theoretical acumen within cosmopolitan literatures.",['Literary Criticism']
Reading Science Fiction,"['James Gunn', 'Marleen Barr', 'Matthew Candelaria']","Science Fiction is illuminated by world class scholars and fiction writers, who introduce the history, concepts and contexts necessary to understanding the genre. Their groundbreaking approach provides insights into today's SF world and makes learning how to read Science Fiction an exciting collaborative process for teachers and students.",['Literary Criticism']
SCIENCE FICTION THE WONDER OF HUMAN IMAGINATION,['Andreas Sofroniou'],"Science Fiction explores the probable consequences of some improbable or impossible transformation of the basic conditions of human (or intelligent non-human) existence. This transformation need not be a technological invention, but may be some mutation of known biological or physical reality: artificial or extraterrestrial life-forms and travel through time are favourite subjects. Science Fiction stories may involve Utopian political speculation, or satire, but most rely on the marvellous appeal of fantasy. The term Science Fiction was first given general currency by Hugo Gernsback, editor of the popular Amazing Stories magazine from 1926. Once uniformly dismissed as pulp trash, SF gained greater respect from the 1950s, as writers like Isaac Asimov, Ray Bradbury, Arthur C. Clarke, and John Wyndham expanded its range; themes of alien invasion and brain-washing became especially popular at the height of the Cold War.",['Fiction']
The Science Fiction Dimensions of Salman Rushdie,['Yael Maurer'],"This book focuses on the science fictional dimensions of Rushdie's later novels, Fury, The Ground Beneath Her Feet, Shalimar the Clown and Luka and the Fire of Life, and Rushdie's first unpublished novel, The Antagonist, to show how the author's oeuvre moves towards a more consistent engagement with science fiction as a generic form and an ideological investment. The author demonstrates how Rushdie recreates personal and national histories in a science fictional setting and mode, and contends that the failure of his first novel Grimus may have led Rushdie away from SF for some time, although he returns to it with a much firmer conviction and a much stronger voice in his later novels, showing his commitment to this imaginative form which he describes in Fury as providing ""the best popular vehicle ever devised for the novel of ideas and metaphysics.""The science fictional mode is the most appropriate vehicle for expressing these thematic and ideological concerns and the organizing feature of Rushdie's oeuvre. The author rereads the later novels in light of recent critical engagement with SF as a vehicle for reimagining national histories and as a potentially subversive tool for social and political engagement in a fictional realm.",['Literary Criticism']
Exploring Science Through Science Fiction,['Barry B. Luokkala'],"How does Einstein’s description of space and time compare with Doctor Who? Can James Bond really escape from an armor-plated railroad car by cutting through the floor with a laser concealed in a wristwatch? What would it take to create a fully intelligent android, such as Star Trek’s Commander Data? Exploring Science Through Science Fiction addresses these and other intriguing questions, using science fiction as a springboard for discussing fundamental science concepts and cutting-edge science research. It includes references to original research papers, landmark scientific publications and technical documents, as well as a broad range of science literature at a more popular level. The revised second edition includes expanded discussions on topics such as gravitational waves and black holes, machine learning and quantum computing, gene editing, and more. In all, the second edition now features over 220 references to specific scenes in more than 160 sci-fi movies and TV episodes, spanning over 100 years of cinematic history. Designed as the primary text for a college-level course, this book will appeal to students across the fine arts, humanities, and hard sciences, as well as any reader with an interest in science and science fiction. Praise for the first edition: ""This journey from science fiction to science fact provides an engaging and surprisingly approachable read..."" (Jen Jenkins, Journal of Science Fiction, Vol. 2 (1), September 2017)",['Science']
Science Fiction and Speculative Fiction,['P. L. Thomas'],"Why did Kurt Vonnegut shun being labeled a writer of science fiction (SF)? How did Margaret Atwood and Ursula K. Le Guin find themselves in a public argument about the nature of SF? This volume explores the broad category of SF as a genre, as one that challenges readers, viewers, teachers, and scholars, and then as one that is often itself challenged (as the authors in the collection do). SF, this volume acknowledges, is an enduring argument. The collected chapters include work from teachers, scholars, artists, and a wide range of SF fans, offering a powerful and unique blend of voices to scholarship about SF as well as examinations of the place for SF in the classroom. Among the chapters, discussions focus on SF within debates for and against SF, the history of SF, the tensions related to SF and other genres, the relationship between SF and science, SF novels, SF short fiction, SF film and visual forms (including TV), SF young adult fiction, SF comic books and graphic novels, and the place of SF in contemporary public discourse. The unifying thread running through the volume, as with the series, is the role of critical literacy and pedagogy, and how SF informs both as essential elements of liberatory and democratic education.",['Education']
A Companion to Science Fiction,['David Seed'],"A Companion to Science Fiction assembles essays by an international range of scholars which discuss the contexts, themes and methods used by science fiction writers. This Companion conveys the scale and variety of science fiction. Shows how science fiction has been used as a means of debating cultural issues. Essays by an international range of scholars discuss the contexts, themes and methods used by science fiction writers. Addresses general topics, such as the history and origins of the genre, its engagement with science and gender, and national variations of science fiction around the English-speaking world. Maps out connections between science fiction, television, the cinema, virtual reality technology, and other aspects of the culture. Includes a section focusing on major figures, such as H.G. Wells, Arthur C. Clarke, and Ursula Le Guin. Offers close readings of particular novels, from Mary Shelley's Frankenstein to Margaret Atwood's The Handmaid's Tale.",['Literary Criticism']
Global Science Fiction,['Gary Westfahl'],"Science fiction represents a diverse community of writers and readers that spans the entire world. This collection provides a global tour of the genre, with essays about Latin American, European, African, Arabic, Indian, Japanese, and Chinese science fiction providing insights about how writers around the world have explored and reinvigorated the genre. Essays by prominent critics from five continents inform about particular cultures and analyze representative texts by authors such as Tobias S. Buckell, Lourenco Mutarelli, Stanislaw Lem, Masande Ntshanga, Tawfiq Al-Hakim, Anil Menon, and Cixin Liu. The contributing scholars examine how national experiences have shaped these narratives, which often differ strikingly from Anglo-American science fiction. An introductory survey of foreign-language science fiction in the United States endeavors to explain why so many of these texts have remained unknown to Anglophone readers. An extensive bibliography lists numerous resources for further study of science fiction from various parts of the world.",['Literary Criticism']
The History of Science Fiction and Its Toy Figurines,['Luigi Toiati'],"""This eye-opening book deserves a spot on the bookshelves of anyone who not only enjoys collecting, but also has a great interest in all facets of the history of our hobby."" — Toy Soldier Collector Science fiction, as the name suggests, is the combination of science and fantasy. In addition to a literary form, it also encompasses film, TV, comics, toys and our beloved toy astronauts, or other figures such as aliens, monsters and other playable genres. The term science fiction was coined by publisher Hugo Gernsbach around the first decades of the last century to refer to the predominantly 'space' adventures covered in his magazines. Space invaded radio, cinema, TV, and consequently for a long time toy figurines were predominantly space-related, later evolving into other themes. This lavishly illustrated book covers both the history of literary science fiction, following in the footsteps of contemporary official criticism, and toy figurines inspired by science fiction. You will also find several other themes, such as the link between science fiction figures and cinema, radio, TV, comics, and more. Luigi Toiati offers to both guide the reader on an often-nostalgic walk through science fiction in all its various forms, and to describe the figurines and brands associated with it.",['Literary Criticism']
Modern Masters of Science Fiction,['John Hamilton'],Introduces young readers to the world of science fiction.,['Juvenile Nonfiction']
Indie Science Fiction Cinema Today,"['Kathleen Fernandez-Vander Kaay', 'Chris Vander Kaay']","Much of 20th century science fiction foretold technological and social developments beyond the year 2000. Since then, a key theme has been: what happens when the future no one anticipated arrives faster than anyone expected? Focusing on 21st century independent science fiction films, the author describes a seismic shift in subject matter as society moves into a new technological age. Independent films since the millennium are more daring, incisive and even plausible in their depiction of possible futures than blockbuster films of the same period. Twenty-one chapters break down today's subgenres, featuring interviews with the filmmakers who created them.",['Performing Arts']
Positively People - English (Science Fiction),"['Pennel P Irwin', 'James J Irwin']","CENTURY SYSTEMS PUBLISHING & Penny A Page Marketing A Science Fiction Called Positively People This is a Science Fiction novel set in the next few centuries. Human kind has explored and colonized the ""Sol"" system and forged ahead in its colonization of other 'systems' and the government of the future has come into fruition! A government that is paranoid of alien encounters and technology. A government and a society that has long lost the morality center and its base of belief beyond its own reality. A society whose realism is centered in on its technology as actuality. It is the age of Cyborgs........................................................ If you are looking for a fantastic Sci-Fi read try Pennel's novel. Sdi, CEO Penny-A-Page Marketing www.penny-a-page.org",['N/A']
Science Fiction and Indian Women Writers,['Urvashi Kuhad'],"Science fiction, as a literature of fantasy, goes beyond the mundane to ask the question: what if the world were different from the way it is? It often challenges the real, builds on imagination, places no limits on human capacities, and encourages readers to think outside their social and cultural conditioning. This book presents a systematic study of Indian women’s science fiction. It offers a critical analysis of the works of four female Indian writers of science fiction: Rokeya Sakhawat Hossain, Manjula Padmanabhan, Priya Sarukkai Chabria and Vandana Singh. The author considers not only the evolution of science fiction writing in India, but also discusses the use of innovations and unique themes including science fiction in different Indian languages; the literary, political, and educational activism of the women writers; and eco-feminism and the idea of cloning in writing, to argue that this genre could be viewed as a vibrant representation of freedom of expression and radical literature. This ground-breaking volume will be useful for scholars and researchers of English literature. It will also prove a very useful source for further studies into Indian literature, science and technology studies, women’s and gender studies, comparative literature and cultural studies.",['Literary Criticism']
The Oxford Handbook of New Science Fiction Cinemas,['J. P. Telotte'],"Essays in The Oxford Handbook of New Science Fiction Cinemas address the impact of new theoretical approaches and recent cultural attitudes on a changing science fiction cinema. Essay topics include (but are not limited to) Afrofuturism, biopunk science fiction, feminist science fiction, heterotopic spaces, steampunk cinema, ethno-Gothic films, superhero cinema, queer theory, and posthumanism.",['Performing Arts']
Great Authors of Science Fiction & Fantasy,['Britannica Educational Publishing'],"Fantastical realms, enchanted creatures, and imaginative technologies are but a few of the many elements that draw readers to the science fiction and fantasy genres of literature. Great science fiction and fantasy authors are skilled at blending the unfamiliar with the familiar, making their imaginative tales both grounded and, in some cases, prescient. Writers such as Ray Bradbury, Ursula K. Le Guin, J.K. Rowling, and J.R.R. Tolkien, to name a few, explore themes ranging from conformity and government control to the dual burden and blessing of advanced technology, challenging readers to reimagine the world they know. The lives of some of the most prolific and popular authors of these genres are surveyed in this compelling volume.",['Juvenile Nonfiction']
Pulpit Science Fiction,['George L. Murphy'],"To keep the Christian message relevant in our rapidly changing times, it's vital that churches come to terms with how modern technology and scientific knowledge have changed the way we understand the world. And because preaching is the church's primary mode of communication (especially with adults), it offers a significant opportunity to shape how we think about the larger questions of our existence. One innovative way for preachers to address these concerns is through popular science fiction. Because many of the genre's stories deal with the impact of science and technology on individuals and cultures, they often have implicit religious implications. Pulpit Science Fiction is a fascinating collection of creative story sermons that shows how you can use elements drawn from science fiction to boldly proclaim the Christian faith. In addition to 14 imaginative ""science fiction parables,"" a pair of essays are also included that illustrate how references to science fiction films and stories can be utilized in preaching. George Murphy has extended Christian parable telling into the 21st century with a series of preachable stories. These engaging, sometimes poignant, and often provocative tales spotlight particular theological themes from scripture. Comments following each pulpit-tested story help to contextualize it in relation to literary sources and the liturgical year. This book is a remarkable gift to those charged with proclaiming the Word to that spacefaring species, Homo sapiens. Jim Miller, Senior Program Associate Program of Dialogue on Science, Ethics, and Religion American Association for the Advancement of Science George L. Murphy is a graduate of Ohio University, Johns Hopkins University (where he earned a Ph.D. in physics), and Wartburg Theological Seminary. An adjunct faculty member at Trinity Lutheran Seminary, Murphy is also a Lutheran pastor who now serves on the staff of St. Paul's Episcopal Church in Akron, Ohio. He has been widely published in both scientific and religious periodicals, and has received two awards from the Templeton Foundation for his papers on science and religion. Murphy is the author of Toward A Christian View Of A Scientific World and Cosmic Witness (CSS), The Trademark of God (Morehouse-Barlow), and The Cosmos in the Light of the Cross (Trinity Press International). He is also a member of the writing team for the online preaching resource The Immediate Word (www.csspub.com).",['Fiction']
Science Fiction Rise,"['Serena Vaughn', 'AI']","Science Fiction Rise explores the surprising and powerful connection between science fiction narratives and real-world technological innovation. It examines how science fiction has not only predicted future technologies but has also actively influenced their development. The book highlights how our collective imagination, spurred by sci-fi, acts as a key driver of technological advancement. For example, ideas first explored in science fiction, like robotics and space exploration, have demonstrably shaped scientific inquiry and funding priorities. The book argues that science fiction is more than just a reflection of technological trends; it's an active participant in shaping them. It acts as a kind of creative laboratory, where concepts are tested and refined, ultimately influencing scientific research. The book presents this information with historical and cultural context, analyzing key science fiction works alongside actual technological breakthroughs. The book is structured into three sections, starting with an introduction to the history and themes of science fiction. It then delves into specific case studies, such as artificial intelligence and its portrayal in science fiction, before concluding with a discussion of the ethical responsibilities of shaping the future through technology. This approach allows readers to understand both the historical impact and the potential future role of science fiction in innovation.",['Technology & Engineering']
